,0,1,2,3,Request Number,Conditions
0,no_findings,"__________________________________________
","Empty DataFrame
Columns: [markup_id, vis_category, start, end, txt, type]
Index: []","Empty DataFrame
Columns: [relation_id, type, arg1_cate, arg1_id, arg2_cate, arg2_id]
Index: []",70846,A CUSTOMER COMPLAINED  ABOUT CONSTRUCTION BEING DONE WHILE EATING THE SMELL OF FUMES
1,no_findings,"__________________________________________
","Empty DataFrame
Columns: [markup_id, vis_category, start, end, txt, type]
Index: []","Empty DataFrame
Columns: [relation_id, type, arg1_cate, arg1_id, arg2_cate, arg2_id]
Index: []",101741,"young man preparing cups of frozen custard had shoulder length hair was unrestricted and he had long and scraggly beard. He did not have a hat or hairnet on and was flipping his hair around. 

EMAIL no date or time of occurance."
2,fbi_doc,"__________________________________________
","  markup_id vis_category start end        txt type
0        T0       Target     8  17  foodborne  fbi
1        T1       Target    18  25    illness  fbi
2        T2       Target    48  55    illness  fbi","Empty DataFrame
Columns: [relation_id, type, arg1_cate, arg1_id, arg2_cate, arg2_id]
Index: []",126856,Suspect foodborne illness based on 2 reports of illness.
3,roach_doc,"__________________________________________
","  markup_id vis_category start end          txt   type
0        T0       Target     0  11  cockroaches  roach","Empty DataFrame
Columns: [relation_id, type, arg1_cate, arg1_id, arg2_cate, arg2_id]
Index: []",102000,"cockroaches in the restroom and table,
DATE OF OCCURENCE 04/15/12 TIME 9:30 PM"
4,no_findings,"__________________________________________
","Empty DataFrame
Columns: [markup_id, vis_category, start, end, txt, type]
Index: []","Empty DataFrame
Columns: [relation_id, type, arg1_cate, arg1_id, arg2_cate, arg2_id]
Index: []",93922,Lunch meat sitting on the counter for periods of time.
5,roach_doc,"__________________________________________
","  markup_id vis_category start end      txt   type
0        T0       Target    12  19  roaches  roach","Empty DataFrame
Columns: [relation_id, type, arg1_cate, arg1_id, arg2_cate, arg2_id]
Index: []",91377,Kitchen has roaches.
6,no_findings,"__________________________________________
","Empty DataFrame
Columns: [markup_id, vis_category, start, end, txt, type]
Index: []","Empty DataFrame
Columns: [relation_id, type, arg1_cate, arg1_id, arg2_cate, arg2_id]
Index: []",72730,TACOS TIJUANA IS ALWAYS PARKED IN THE NORTH SIDE PARKING LOT OF GOLDS GYM AND ALBERTSONS DOESN'T RETURN TO IT'S COMMISSARY AT NIGHT.
7,no_findings,"__________________________________________
","Empty DataFrame
Columns: [markup_id, vis_category, start, end, txt, type]
Index: []","Empty DataFrame
Columns: [relation_id, type, arg1_cate, arg1_id, arg2_cate, arg2_id]
Index: []",87125,The restroom doors and toilets are not operating it smells bad in both restrooms.
8,no_findings,"__________________________________________
","Empty DataFrame
Columns: [markup_id, vis_category, start, end, txt, type]
Index: []","Empty DataFrame
Columns: [relation_id, type, arg1_cate, arg1_id, arg2_cate, arg2_id]
Index: []",95047,Hair in food.
9,no_findings,"__________________________________________
","Empty DataFrame
Columns: [markup_id, vis_category, start, end, txt, type]
Index: []","Empty DataFrame
Columns: [relation_id, type, arg1_cate, arg1_id, arg2_cate, arg2_id]
Index: []",58672,"THE FOOD SERVERS DON'T HAVE FOOD HANDLER CARDS, AND THE  ALCOHOL SERVERS DON'T HAVE THE SIPS AND TIPS CARDS."
10,rats_doc,"__________________________________________
","  markup_id vis_category start end    txt  type
0        T0       Target    15  20  mouse  rats","Empty DataFrame
Columns: [relation_id, type, arg1_cate, arg1_id, arg2_cate, arg2_id]
Index: []",75553,Customer saw a mouse run under their table and into the kitchen.
11,no_findings,"__________________________________________
","Empty DataFrame
Columns: [markup_id, vis_category, start, end, txt, type]
Index: []","Empty DataFrame
Columns: [relation_id, type, arg1_cate, arg1_id, arg2_cate, arg2_id]
Index: []",63429,WATER IN RESTROOMS DOES NOT STAY ON LONG ENOUGH FOR DECENT HANDWASHING.
